asin	relation	attribute
0007579098	title	Asa (The Marked Men)
0007579098	description	ASA
0062292129	title	Stealing Harper: A Taking Chances Story (A Taking Chances Novella)
0062292129	description	Molly McAdams grew up in California but now lives in the oh-so-amazing state of Texas with her husband, daughter, and fur babies. Her hobbies include hiking, snowboarding, traveling, and long walks on the beach . . . which roughly translates to being a homebody with her hubby and dishing out movie quotes.
0062294776	title	Wait for You (Wait for You Saga)
0062294776	description	A young woman must come to terms with the secret horror in her past to find love and happiness in this predictable new adult romance by the pseudonymous Lynn (Obsession author Jennifer L. Armentrout). After five hellish years of being called a lying whore in her small Texas town, 19-year-old Avery Morgansten is more than happy to leave for college in West Virginia. There she meets gorgeous, blue-eyed Cameron Hamilton, a fellow student who seems as attracted to her as she is to him. Haunted by her traumatic past, Avery is torn between protecting herself and finding love. The path to romance is long and rocky, and Cam has dark secrets of his own, but eventually both lovers come clean and all loose ends are neatly wrapped up. While Lynn's peripheral characters are fairly one-dimensional, Avery and Cam are compelling. Fans of stories about characters healed by love will find this one moderately satisfying. Agent: Kevan Lyon, Marsal Lyon Literary Agency. (Sept. 3)
0062294776	description	The #1 New York Times and USA Today bestselling phenomenon
0062294776	description	Some things are worth waiting for . . . 
0062294776	description	Traveling thousands of miles from home to enter college is the only way nineteen-year-old Avery Morgansten can escape what happened at that fateful Halloween party five years agoan event that forever changed her life. What she never planned on was capturing the attention of the one guy who could shatter the precarious future she's building for herself.
0062294776	description	Some things are worth experiencing . . . 
0062294776	description	Cameron Hamilton is six feet, three inches of swoon-worthy hotness, com-plete with a pair of striking blue eyes and a remarkable ability to make Avery want things she believed had been irrevocably stolen from her. Getting involved with him is dangerous. Yet ignoring the simmering tension that sparks between themand brings out a side of her she never knew existedis impossible.
0062294776	description	Some things shouldn't be kept quiet . . . 
0062294776	description	But when Avery starts receiving threatening e-mails and phone calls, she's forced to face a past she wants to keep buried and acknowledge that someone is refusing to allow her to let go of that night when everything changed. If the devastating truth comes out, will she resurface with one less scar? And will Cam be there to help her?
0062294776	description	And some things are worth fighting for . . . 
0062294784	title	Be with Me: A Novel (Wait for You Saga)
0062294784	description	“. . . Be with Me is delicious, unabashed melodrama. And it works.” (New York Journal of Books)
0062294784	description	From the author of the #1 New York Times bestseller Wait for You
0062294784	description	Do Teresa and Jase have a real shot at getting together or will life get in the way? 
0062294784	description	Teresa Hamilton is having a rough year—she's in love with her big brother's best friend, but he hasn't spoken to her since they shared a truly amazing, mind-blowing, life-changing kiss. Then she got out of a terrible relationship. Now an injury is threatening to end her dance career for good. It's time for plan B: college. And maybe she'll have a chance to convince Jase that what they have together is real.
0062294784	description	Jase Winstead has a huge secret that he's not telling anyone—especially not his best friend's incredibly beautiful sister. Even though he and Teresa shared the hottest kiss of his life, he knows that his responsibilities must take priority. He certainly doesn't have time for a relationship. But it doesn't help that all he can think about is kissing the one girl who could ruin everything for him.
